"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Sylvia Fowles","MIN","C",34,1048,30.8,0.691,0,0.456,14.8,20.6,8.7,2.2,5.2,15.1,23.3,5.7,3.4,9.2,0.35,2017
"Nneka Ogwumike","LAS","F",34,1050,28.1,0.636,0.122,0.354,7.8,16,12.4,3.1,1.5,9.4,24.4,5.5,2.9,8.4,0.321,2017
"Jonquel Jones","CON","F",34,970,26.8,0.634,0.165,0.487,14.2,23.6,8.3,1.5,4,12.2,20.7,4.8,2.4,7.2,0.297,2017
"Elena Delle Donne","WAS","F-G",25,758,28.5,0.636,0.264,0.463,5.9,12.7,10.9,1.4,3.7,8.9,25.2,4.4,1,5.4,0.287,2017
"Brittney Griner","PHO","C",26,820,28.7,0.642,0,0.532,6.7,14.6,13.1,1.1,6.3,12.6,28,3.9,1.5,5.4,0.262,2017
"Maya Moore","MIN","F",34,1063,22.5,0.561,0.338,0.271,6.1,9.8,18.2,3.1,1.1,10.4,24.5,4.1,2.8,6.9,0.258,2017
"Brionna Jones","CON","F",23,147,19.4,0.653,0,0.6,12.2,14.7,3.1,3,1.1,15.1,17.3,0.6,0.3,0.8,0.231,2017
"Candace Parker","LAS","F-C",33,1007,25.2,0.567,0.292,0.292,5.4,17.5,24.2,2.5,4.7,15.3,26.6,2.6,3.1,5.8,0.229,2017
"Chelsea Gray","LAS","G",34,1125,19,0.618,0.303,0.27,2.5,6.4,21.6,1.7,0.6,13.8,19.3,3.9,1.8,5.7,0.202,2017
"Breanna Stewart","SEA","F",33,1086,24.3,0.588,0.283,0.443,6,16.4,15.3,1.8,3.9,12.5,27.6,3.5,1.8,5.3,0.196,2017
"Epiphanny Prince","NYL","G",28,751,18.1,0.518,0.332,0.284,4.9,7.7,18.7,2.4,0.8,9.7,21.2,2,1.3,3.3,0.178,2017
"Seimone Augustus","MIN","G-F",32,886,16.1,0.558,0.149,0.129,1.9,6.5,22.3,1,0.3,12.6,17.9,2.3,1.5,3.9,0.174,2017
"Tina Charles","NYL","C",34,1095,21.9,0.508,0.116,0.258,7.2,16.5,16.2,1.3,1.8,10.8,29.9,2.3,2.4,4.7,0.172,2017
"Rebekkah Brunson","MIN","F",30,807,15.4,0.54,0.272,0.37,8,15.2,8.1,2.1,1.3,14.5,18.2,1.3,2.2,3.5,0.171,2017
"Tiffany Hayes","ATL","G",33,989,18.8,0.582,0.339,0.486,3.4,7.3,14.8,2.1,0.7,11.8,23,3.1,1.1,4.2,0.171,2017
"Lynetta Kizer","CON","F",20,238,18.4,0.526,0.01,0.3,10.3,13.6,4.2,2.3,2.3,8.1,22.2,0.6,0.4,1,0.169,2017
"Natasha Howard","MIN","F",34,397,15.4,0.528,0.111,0.238,9.9,12.5,9.6,2.3,4.3,15.7,18.5,0.5,1.1,1.6,0.164,2017
"Kiah Stokes","NYL","C",34,666,14.6,0.596,0.009,0.478,13.3,18.3,7,0.9,4.8,22.6,11.7,1.2,1.5,2.7,0.162,2017
"Skylar Diggins-Smith","DAL","G",34,1162,21.3,0.57,0.308,0.479,2.2,6,31.3,1.9,1.9,14.6,23.4,4.4,0.2,4.6,0.158,2017
"Emma Meesseman","WAS","F",23,653,20.9,0.54,0.157,0.164,7,11.5,19.6,1.8,4.1,11.8,23.4,1.6,0.9,2.5,0.154,2017
"Odyssey Sims","LAS","G",31,752,16.7,0.527,0.229,0.277,2.5,5,22.6,3.1,0.6,13.4,20.1,1.4,1.5,2.9,0.153,2017
"Diana Taurasi","PHO","G",31,883,19,0.579,0.595,0.324,1.4,6.3,18.2,0.9,0.9,11.4,27.8,2.7,0.7,3.3,0.151,2017
"Crystal Langhorne","SEA","F-C",34,967,18.5,0.671,0.007,0.299,5.9,13.2,9.4,1,1,15.3,18,2.8,0.8,3.6,0.149,2017
"Renee Montgomery","MIN","G",34,743,13.8,0.56,0.502,0.263,2.5,4.4,23,1.7,0.2,19.3,18,1.4,1.3,2.7,0.146,2017
"Shavonte Zellous","NYL","G",34,991,14.1,0.547,0.165,0.564,3.8,7.8,15.8,1.5,0.7,15.2,19.1,2.1,1.5,3.6,0.145,2017
"Alyssa Thomas","CON","F",33,982,19.4,0.536,0.008,0.545,5.3,13,24.3,2.6,1,17.6,24.2,1.5,2,3.5,0.142,2017
"Aneika Henry-Morello","ATL","F-C",6,31,15.6,0.857,0,0,3.5,11.1,12.4,3.2,0,30,14,0.1,0.1,0.1,0.14,2017
"Tianna Hawkins","WAS","F",33,547,16,0.556,0.246,0.23,9,14.4,3.7,1.7,1.1,10.8,18.9,1.3,0.6,1.9,0.139,2017
"Kia Vaughn","NYL","C",28,549,13.9,0.545,0,0.174,11.3,14.2,6.1,1.1,1.6,13.4,13.8,0.9,1,1.9,0.137,2017
"Nayo Raincock-Ekunwe","NYL","F",32,295,13.2,0.563,0.051,0.782,11.3,11,4.6,0.9,0.3,14,18.3,0.6,0.4,1,0.135,2017
"Rachel Hollivay","ATL","C",7,34,11.6,0.654,0,0.333,9.6,15.1,0,0,4.8,12.7,10.1,0.1,0,0.1,0.133,2017
"Krystal Thomas","WAS","C",34,888,15.9,0.565,0,0.378,14.2,21,6.2,1,3.3,18.6,13,1.6,1.4,3,0.133,2017
"Shekinna Stricklen","CON","F",34,926,12.3,0.592,0.749,0.16,2.1,6.6,5.7,2.2,0.3,10.5,12.8,1.7,1.3,3,0.131,2017
"Tayler Hill","WAS","G",18,462,17,0.531,0.466,0.419,1.2,4.2,18.3,1.8,0.2,10.3,24.5,1.3,0.2,1.5,0.13,2017
"Alana Beard","LAS","G-F",34,1048,11.6,0.551,0.098,0.238,2.7,6.9,10.4,3.5,1.4,17.4,11.4,0.9,2.4,3.3,0.127,2017
"Stefanie Dolson","CHI","C",33,968,18.5,0.636,0.205,0.199,5.3,11.6,14.8,0.9,3.2,17.7,20.9,2.3,0.8,3.1,0.127,2017
"Leilani Mitchell","PHO","G",34,726,16.2,0.55,0.481,0.438,2.2,6.7,28,2.2,1.1,17.6,18.8,1.4,0.9,2.3,0.124,2017
"Courtney Vandersloot","CHI","G",27,817,18.6,0.594,0.276,0.146,2.4,7.2,41.9,2,0.5,23.4,18.5,2.1,0.5,2.5,0.124,2017
"Monique Currie","TOT","F",36,784,17.2,0.552,0.32,0.353,3.1,10.3,18.3,1.6,1.2,13.3,23.5,1.5,0.9,2.4,0.124,2017
"Shenise Johnson","IND","G",14,348,19.8,0.546,0.236,0.315,4.5,8.8,18.5,3.2,1,11.1,21.7,0.8,0.2,1.1,0.122,2017
"Danielle Adams","CON","F-C",19,83,14.1,0.519,0.689,0.111,9.4,7.5,7.8,2.4,3.7,12.9,28,0.1,0.1,0.2,0.12,2017
"Elizabeth Williams","ATL","C-F",34,1069,16.3,0.513,0.003,0.267,10.8,13.1,7.5,1.7,5.1,11.8,15.8,1.4,1.7,3.2,0.119,2017
"Jennifer Hamson","IND","C",12,86,17.2,0.617,0,0.389,8.4,18.5,4,0.6,10.6,19.2,14.1,0.1,0.1,0.3,0.118,2017
"Allie Quigley","CHI","G",31,1000,18.1,0.632,0.474,0.148,1.1,5.9,18.8,1.2,1.2,15.3,21,2.6,0.3,2.9,0.116,2017
"Kayla Alexander","SAS","C",34,522,16.7,0.607,0,0.133,10.4,12.5,6.3,1.5,2.7,15.5,17.8,1,0.5,1.5,0.115,2017
"Plenette Pierson","MIN","F",34,465,12.3,0.51,0.341,0.146,4.1,10,16,1.5,0.9,16.7,20,0.3,1,1.3,0.115,2017
"Jasmine Thomas","CON","G",32,902,17.2,0.517,0.33,0.18,1.6,4.7,24.9,2.8,0.3,14.8,24.4,1.2,1.3,2.5,0.113,2017
"Kayla Thornton","DAL","F",34,586,14.8,0.539,0.345,0.48,7.5,11.2,8.5,1.9,1.1,10.1,17.1,1.5,0.2,1.6,0.113,2017
"Lindsay Whalen","MIN","G",22,520,12.4,0.524,0.222,0.235,1.9,6.3,25.6,1.1,0.3,20.7,18.2,0.6,0.9,1.5,0.113,2017
"Courtney Williams","CON","G",34,884,16,0.511,0.095,0.105,5.8,9.2,13.4,1,0.7,10.1,22,1.5,1,2.4,0.11,2017
"Sue Bird","SEA","G",30,901,16.5,0.551,0.547,0.113,1,4.1,35.9,2.1,0.3,17.7,18.2,2,0.4,2.4,0.105,2017
"Glory Johnson","DAL","F",33,1022,18.2,0.537,0.166,0.318,8.5,17.2,9.9,2,1,13.7,21.9,1.9,0.8,2.7,0.104,2017
"Jewell Loyd","SEA","G",34,1059,19.1,0.547,0.29,0.317,4,6.3,20.1,2.1,0.9,13.4,28.1,2.1,0.6,2.8,0.104,2017
"Sydney Wiese","LAS","G",28,222,9.5,0.504,0.583,0.133,1.8,6.3,5.3,1.2,1.2,3.1,13.6,0.2,0.3,0.6,0.104,2017
"Cierra Burdick","TOT","F",10,86,12.6,0.705,0.091,0,5.5,8.2,19.5,1.2,1,26.7,15.5,0.1,0.1,0.2,0.104,2017
"Natalie Achonwa","IND","F",34,623,16.2,0.597,0,0.335,7.1,13,7.4,1.2,2.3,13.3,17.4,1.4,0.2,1.6,0.102,2017
"Moriah Jefferson","SAS","G",21,514,16.9,0.572,0.129,0.174,1.4,4.4,33.1,3.3,0.3,20.5,18.4,0.8,0.5,1.3,0.1,2017
"Alysha Clark","SEA","F",33,934,12.2,0.606,0.332,0.252,4.7,9.2,9.1,1.3,0.3,12.8,12.9,1.8,0.5,2.3,0.099,2017
"Temi Fagbenle","MIN","F",21,89,9.5,0.569,0,0.5,7.1,14.4,1.6,1.7,3.7,26.7,15,0,0.2,0.2,0.099,2017
"Jia Perkins","MIN","G",34,554,9.7,0.445,0.255,0.161,2.5,7.5,11.9,3.4,0.1,14.9,15.1,-0.1,1.4,1.3,0.097,2017
"Kayla McBride","SAS","G",30,995,15.5,0.528,0.418,0.354,1.7,7.6,14,1.8,0.4,11.7,22.4,1.7,0.7,2.4,0.096,2017
"Keisha Hampton","CHI","F",19,148,13.8,0.569,0.621,0.103,5,4.7,6.4,1.7,1.5,7.6,19.6,0.3,0,0.3,0.094,2017
"Kristi Toliver","WAS","G",34,989,13.8,0.553,0.664,0.177,1.3,3.9,20.5,1.2,0.6,14.5,19.4,1.9,0.3,2.2,0.088,2017
"Allisha Gray","DAL","G",34,924,16.4,0.488,0.297,0.335,6.5,8.5,8.9,2.8,1.7,8.5,22.5,1.5,0.5,2,0.086,2017
"Essence Carson","LAS","G",24,464,9.4,0.498,0.346,0.231,3.2,5.5,9,1.7,1.5,13.6,13.2,0.2,0.7,1,0.084,2017
"Karima Christmas-Kelly","DAL","F-G",34,1011,13.2,0.536,0.338,0.563,6.3,8.3,12.2,2.1,0.5,14.6,16,2,0.1,2.1,0.084,2017
"Stephanie Talbot","PHO","F-G",34,609,10.6,0.517,0.341,0.374,5.8,9.1,14.5,2,1.2,17.3,12.9,0.6,0.7,1.3,0.084,2017
"Bria Hartley","NYL","G",34,727,11.3,0.519,0.462,0.164,1.6,5.6,16.2,1.4,0.6,16.1,18.5,0.5,1,1.5,0.083,2017
"Erlana Larkins","IND","F",34,640,13.8,0.633,0,0.291,12,14.1,10,1.5,1.3,24.1,12.6,1.2,0.1,1.3,0.083,2017
"Sugar Rodgers","NYL","G",33,844,12.1,0.459,0.52,0.153,3.1,8.5,15.5,1.8,1.6,12.3,22.6,0.2,1.5,1.7,0.081,2017
"Jantel Lavender","LAS","F",32,553,13.5,0.524,0.075,0.122,8.1,11.2,8.8,0.8,0.8,15.1,22.1,0.3,0.9,1.1,0.08,2017
"Kayla Pedersen","CON","F",26,266,7,0.447,0.029,0.486,9.7,12.6,7.4,1.3,0.6,19.1,8.4,0.2,0.4,0.5,0.079,2017
"Sancho Lyttle","ATL","F",29,820,11.4,0.468,0.043,0.156,6.5,14.4,9.1,2.8,1.8,16.1,12.5,0,1.6,1.6,0.078,2017
"Angel Robinson","PHO","F-C",15,237,9.8,0.616,0.023,0.159,8.2,14.8,5.6,0.2,3.7,25.4,12.1,0.2,0.3,0.5,0.078,2017
"Alex Bentley","CON","G",31,735,10.9,0.458,0.3,0.179,0.6,3.5,18,1.7,0.4,8.7,18.1,0.6,0.8,1.4,0.077,2017
"Candice Dupree","IND","F",33,1049,18,0.531,0.005,0.176,4,11.6,10.4,1.5,1.2,8.8,22.7,1.7,0.4,2,0.077,2017
"Noelle Quinn","SEA","G",32,504,10.3,0.597,0.629,0.339,0.3,6.4,25.1,1.3,0.8,29.6,9.4,0.7,0.2,0.9,0.075,2017
"Isabelle Harrison","SAS","F",34,906,15.7,0.527,0.006,0.294,9.6,14.5,10.2,1.6,2.3,15.6,21.6,0.7,1,1.7,0.074,2017
"Courtney Paris","DAL","C",20,273,13,0.56,0,0.235,13.3,15.9,9,1.3,3.1,20.2,14.5,0.4,0.1,0.5,0.072,2017
"Brittney Sykes","ATL","G",34,863,15.2,0.497,0.264,0.309,3.5,9.3,14.5,1.1,1.7,10.9,26.7,0.6,1,1.6,0.072,2017
"Rebecca Allen","NYL","G",33,304,10.6,0.449,0.436,0.059,4.9,12.6,9.2,2,3.5,14.8,17.7,-0.2,0.7,0.5,0.07,2017
"Theresa Plaisance","DAL","F",34,690,13,0.487,0.478,0.114,6.8,12.5,7.9,1.8,2.7,9.8,18.1,0.8,0.4,1.2,0.069,2017
"Lindsay Allen","NYL","G",28,376,9,0.399,0.21,0.161,3.1,6.4,24.6,2.2,0.2,22.2,10,0,0.6,0.6,0.067,2017
"Ivory Latta","WAS","G",34,579,13.1,0.492,0.538,0.249,1.4,2.8,18,1.4,0.1,9.8,23.7,0.9,0.1,1,0.067,2017
"Emma Cannon","PHO","F",34,440,10.3,0.526,0.018,0.553,11.9,16.8,3.9,0.6,0.9,17.9,17.8,0.2,0.5,0.7,0.065,2017
"Cheyenne Parker","CHI","F",23,286,12.7,0.513,0.043,0.522,13.3,15.8,6.7,1.4,3.8,19.8,16.4,0.1,0.3,0.4,0.062,2017
"Shatori Walker-Kimbrough","WAS","G",27,336,11,0.513,0.34,0.423,2.4,5.1,6,2.3,0.9,12.9,17.6,0.3,0.3,0.5,0.062,2017
"Damiris Dantas","ATL","F",34,614,12.3,0.471,0.377,0.165,5.8,11.3,6.8,1.4,2.5,9.1,21.7,0.1,0.8,0.9,0.061,2017
"Imani McGee-Stafford","TOT","C",32,430,12.2,0.488,0.024,0.187,12.4,16.8,5,1,4.2,15.3,16.1,0.1,0.5,0.6,0.06,2017
"Jessica Breland","CHI","F",34,834,15.4,0.517,0.072,0.161,7.9,15,10.1,1.1,5.2,16.5,19.9,0.2,1.1,1.2,0.059,2017
"Dearica Hamby","SAS","F",34,686,13.7,0.502,0.037,0.466,8.8,12.8,9,2.2,1.1,14.8,20.3,0.3,0.7,1,0.059,2017
"Adut Bulgak","CHI","C",5,61,12.6,0.455,0.136,0.227,8,19,0,4.1,2.4,11,19.7,-0.1,0.1,0.1,0.056,2017
"Danielle Robinson","PHO","G",32,752,11.7,0.501,0.036,0.339,2.3,7.5,24.5,2.4,0.5,21.7,17,0.1,0.9,1.1,0.056,2017
"Asia Taylor","WAS","G",24,160,11.4,0.437,0.05,0.65,12.8,15.6,9,2.3,1,17.6,17.5,0,0.2,0.2,0.054,2017
"Jordan Hooper","TOT","F",28,299,10.5,0.526,0.758,0.061,1.1,6.9,4.7,1.5,0.2,8.1,16.2,0.2,0.2,0.4,0.049,2017
"Shay Murphy","TOT","G",26,253,9.2,0.483,0.571,0.19,5.7,9.1,11,2,0.3,14.9,14.3,0.1,0.2,0.3,0.049,2017
"Sami Whitcomb","SEA","G",33,404,11.5,0.517,0.767,0.158,4.6,8.6,13.4,3.1,0,16.9,19.9,0.1,0.4,0.5,0.047,2017
"Layshia Clarendon","ATL","G",34,1014,13,0.454,0.169,0.251,3.2,7.2,38.4,1.6,0.2,18.3,21.1,0.2,1,1.1,0.044,2017
"Allison Hightower","WAS","G",11,145,12.1,0.423,0.259,0.138,3.1,5.5,14.8,2.9,0,6.1,20.3,0,0.1,0.2,0.044,2017
"Aerial Powers","DAL","F-G",12,244,15.3,0.47,0.356,0.373,7.6,12,13.5,1,1.9,11.6,26.8,0.2,0,0.3,0.044,2017
"Kahleah Copper","CHI","G-F",34,485,11.9,0.542,0.182,0.283,2.8,7.9,4.4,1.1,0.3,11.7,21.7,0.3,0.2,0.5,0.042,2017
"Tierra Ruffin-Pratt","WAS","G",34,827,11,0.417,0.016,0.43,7.2,12.4,15.8,2.1,1.6,14.4,18.8,-0.2,1,0.8,0.04,2017
"Cayla George","PHO","C",32,381,7.7,0.452,0.422,0.128,3.5,13.5,6.6,1.2,2.5,11.5,15.5,-0.2,0.6,0.4,0.038,2017
"Rachel Banham","CON","G",30,283,7.6,0.446,0.564,0.198,0.8,6.8,11.3,0.7,0,9.9,18.4,0,0.3,0.3,0.036,2017
"Ameryst Alston","NYL","",2,3,29.8,0.5,0,0,38.2,38,83.8,0,0,33.3,44.2,0,0,0,0.035,2017
"Bashaara Graves","CHI","F",10,92,10.5,0.518,0,0.318,8,14.5,8.1,1.1,0.8,19.3,14.9,0,0.1,0.1,0.035,2017
"Alexis Jones","MIN","G",29,211,7.3,0.456,0.382,0.184,2.4,6.4,15.9,1.9,0,20.4,21.7,-0.2,0.4,0.2,0.034,2017
"Brianna Kiesel","ATL","G",9,75,6.3,0.361,0.6,0.667,0,3,17.8,2,1.1,4.9,11.8,0,0.1,0.1,0.034,2017
"Natasha Cloud","WAS","G",24,448,9.5,0.408,0.432,0.229,1.8,7.5,24.7,2,0.5,15,15.3,0,0.4,0.4,0.031,2017
"Bria Holmes","ATL","G",32,711,10.8,0.444,0.22,0.369,4.9,7.4,13.4,1.6,0.8,11.1,19.2,-0.1,0.7,0.6,0.031,2017
"Riquna Williams","LAS","G",23,408,7.9,0.464,0.529,0.314,2,5,5.8,2.4,0.6,14,21,-0.4,0.7,0.3,0.031,2017
"Erika de Souza","SAS","F-C",27,338,11.1,0.497,0,0.064,10,12.6,10,1.2,2.4,19.2,15.9,0,0.3,0.3,0.03,2017
"Alex Montgomery","SAS","G-F",34,800,9.6,0.445,0.342,0.105,5.9,14.8,14.9,1.4,1,17,15.5,-0.3,0.9,0.5,0.027,2017
"Tiffany Mitchell","IND","G",27,671,13,0.49,0.29,0.429,2.9,8.1,10.1,2.4,0.6,12.4,22.4,0.2,0.2,0.4,0.025,2017
"Amanda Zahui B.","NYL","C",29,155,8.7,0.448,0.123,0.185,6.7,11.4,11.5,1.7,3.2,17.6,24.3,-0.2,0.3,0.1,0.025,2017
"Kaleena Mosqueda-Lewis","SEA","F",18,199,10.4,0.57,0.5,0.162,2.7,6.5,7.7,1,0.4,17.1,20.7,0.1,0.1,0.1,0.023,2017
"Alexis Prince","PHO","G",18,130,8.7,0.418,0.39,0.049,0.9,8.4,9,1.6,2.4,6.7,15.7,-0.1,0.2,0.1,0.023,2017
"Camille Little","PHO","F",34,862,8.5,0.47,0.248,0.239,6.3,9.1,9.6,1.8,1.4,17.5,16.5,-0.5,1,0.5,0.022,2017
"Sequoia Holmes","SAS","G",27,306,9.5,0.433,0.5,0.135,5.1,5,13.3,2.2,1.6,10.6,16.7,0,0.2,0.2,0.02,2017
"Saniya Chong","DAL","G",33,364,9.9,0.496,0.487,0.372,2.7,4.8,14.8,3,0.6,21.6,13.4,0,0.1,0.2,0.017,2017
"Tiffany Jackson-Jones","LAS","F",26,149,4.1,0.491,0.038,0.308,7.3,13.3,2.9,0.7,1.7,28.9,12.9,-0.2,0.3,0.1,0.016,2017
"Nadia Colhado","IND","C",5,13,2.5,1,0,0,9.2,9.8,0,0,6.4,50,7.1,0,0,0,0.013,2017
"Carolyn Swords","SEA","C",30,261,6.5,0.595,0,0.4,5.6,10.9,5.5,1,1.8,27.9,16.1,-0.1,0.2,0.1,0.012,2017
"Amber Harris","CHI","F",27,159,10.2,0.417,0.229,0.167,9.2,15.3,4.7,0.9,4.1,12,16.3,-0.1,0.2,0,0.008,2017
"Ramu Tokashiki","SEA","F",33,411,6.2,0.496,0.032,0.284,6.1,8.1,7.9,1.1,1.8,19.6,15.2,-0.1,0.2,0.1,0.008,2017
"Yvonne Turner","PHO","G",34,434,10.3,0.49,0.335,0.236,3.4,4.6,15.3,2.2,0.2,17.2,22.4,-0.3,0.4,0.1,0.007,2017
"Briann January","IND","G",25,657,12,0.504,0.278,0.346,2.2,3.6,25.8,1.8,0.5,18.3,20.5,0.2,-0.1,0.1,0.006,2017
"Jeanette Pohlen-Mavunga","IND","G",29,374,8.3,0.55,0.494,0.291,1.3,4.8,8.7,1,0,16,13.2,0.2,-0.2,0.1,0.006,2017
"Morgan Tuck","CON","F",22,366,6.5,0.433,0.299,0.165,3.4,7.6,8,1.1,0,13.9,18.5,-0.4,0.4,0,0.001,2017
"Erica Wheeler","IND","G",34,898,14.5,0.486,0.387,0.123,1.5,5.3,29.2,2.7,0.1,15.9,25.3,-0.2,0.2,0,-0.002,2017
"Kelsey Plum","SAS","G",31,711,9.2,0.479,0.39,0.28,2,5.1,25.8,1.2,0.5,22.2,22.5,-0.6,0.2,-0.4,-0.024,2017
"Jennie Simms","TOT","G",14,104,8,0.38,0.36,0.48,6.6,9.1,11.7,2,1.5,16.5,15.9,-0.1,0.1,-0.1,-0.029,2017
"Tamera Young","TOT","F",35,867,8.5,0.432,0.237,0.231,3.2,7.8,11.8,2.1,1.3,15.2,20.3,-1.4,0.7,-0.6,-0.03,2017
"Cappie Pondexter","CHI","G",29,789,9.1,0.434,0.121,0.253,1.9,6.2,23.9,1.2,0.5,17,21.7,-0.8,0.2,-0.6,-0.031,2017
"Kaela Davis","DAL","G",33,511,7.9,0.491,0.2,0.371,2.1,5.3,11.2,1.6,0.5,19.7,20.9,-0.4,-0.1,-0.5,-0.037,2017
"Sydney Colson","SAS","G",28,326,6.7,0.402,0.114,0.364,1.1,2.8,27.7,2.2,0.5,20.9,17.8,-0.5,0.2,-0.3,-0.039,2017
"Maimouna Diarra","LAS","C",10,20,5.1,0.255,0,0.4,27,35,6.8,5.2,0,33.8,20.5,-0.1,0.1,0,-0.04,2017
"Lanay Montgomery","SEA","C",7,28,6.6,0.429,0,0,0,11.1,0,1.9,11.4,22.2,15.1,-0.1,0.1,0,-0.045,2017
"Erica McCall","IND","F",30,322,7.9,0.443,0.03,0.218,7.5,13.6,2.7,0.7,2.3,15.3,18.9,-0.5,0.1,-0.4,-0.051,2017
"Matee Ajavon","ATL","G",31,250,5.8,0.403,0.053,0.513,3.9,8.7,19.1,2.2,0,23.1,21,-0.7,0.3,-0.4,-0.058,2017
"Marissa Coleman","IND","G-F",34,636,5.9,0.457,0.518,0.214,1.5,6.9,8.7,0.8,0.7,17.5,16.3,-0.8,-0.1,-1,-0.06,2017
"Jazmon Gwathmey","IND","G",28,478,7.8,0.448,0.32,0.279,4,7.3,7.7,1.5,3.8,15.7,22.3,-0.9,0.1,-0.7,-0.061,2017
"Nia Coffey","SAS","F",27,210,3.1,0.349,0.068,0.373,9.8,14.5,4.6,1.2,2.4,18.9,18.1,-0.6,0.2,-0.4,-0.078,2017
"Sophie Brunner","TOT","",4,15,-4.9,0,0,0,8.1,16.2,0,0,0,50,6,0,0,0,-0.095,2017
"Evelyn Akhator","DAL","F",15,61,3.3,0.349,0,0.375,12.6,8.7,0,0.8,3.8,21.2,16.3,-0.2,0,-0.2,-0.107,2017
"Haley Peters","TOT","F",4,43,-1.7,0.5,0.667,0,0,4.2,3.8,0,0,30.8,13.6,-0.1,0,-0.1,-0.107,2017
"Alexis Peterson","SEA","G",17,121,3.7,0.375,0.273,0.136,3.3,10.8,18.1,2.1,0,21.8,23.1,-0.5,0.1,-0.3,-0.112,2017
"Chelsea Hopkins","TOT","G",3,9,-4.4,0,0,0,0,0,0,0,0,0,4.8,0,0,0,-0.115,2017
"Meighan Simmons","ATL","G",11,42,1.3,0.351,0.583,0.292,2.6,6.8,4.2,0,1.9,10,31.1,-0.2,0,-0.2,-0.169,2017
"Cecilia Zandalasini","MIN","F",3,19,-8.9,0.25,0,0,0,3.2,0,0,0,33.3,14,-0.1,0,-0.1,-0.19,2017
"Feyonda Fitzgerald","CON","",2,8,1.3,0,0,0,27.9,28.4,15.5,0,0,33.3,16.1,0,0,0,-0.191,2017
"Makayla Epps","CHI","G",17,64,-2.3,0.25,0.278,0.5,3.8,2.7,12.6,1.6,0,18.5,18.6,-0.3,0,-0.3,-0.207,2017
"Ify Ibekwe","LAS","F",6,23,-4.9,0.258,0.222,0.667,11.7,13.9,0,2.2,0,14.7,27.4,-0.2,0,-0.1,-0.209,2017
"Breanna Lewis","DAL","C",13,52,-10.3,0.254,0,0.333,4.2,10.2,5.7,0,0,33.7,16.8,-0.3,0,-0.3,-0.261,2017
"Sandrine Gruda","LAS","F-C",7,28,-7,0.364,0,0,4.8,9.1,0,0,0,31.3,26.4,-0.2,0,-0.2,-0.283,2017
"Darxia Morris","ATL","G",5,21,-10.2,0.417,0.167,0,0,8.2,7.7,0,0,50,24.8,-0.2,0,-0.2,-0.379,2017
"Alexis Prince","ATL","G",2,6,44.3,0.7,0.2,0,18.3,18.4,0,0,0,0,36.2,0.1,0,0.1,0.404,2018
"Breanna Stewart","SEA","F",34,1074,28.9,0.633,0.288,0.337,4.3,15.3,14.7,2.2,3.6,9.4,27.3,5,2.7,7.7,0.288,2018
"Liz Cambage","DAL","C",32,945,30.7,0.643,0.078,0.485,9.3,19,16.5,0.8,4.5,13.4,30.1,4.8,1.4,6.2,0.26,2018
"Elena Delle Donne","WAS","F-G",29,933,27.3,0.592,0.268,0.275,5.5,13.5,13.6,1.5,3.6,5.1,26.2,4.6,1.3,5.9,0.253,2018
